"id_company","id","name"
0,599,Apnea Sound System
0,601,BGM Records
19,602,WAKEONE Entertainment
0,603,Rockin' Korea
0,605,WE Classic
0,606,Enter House
0,607,New Way Company
0,608,Echo Global Group
1,609,Keyeast
5,610,King Kong by Starship
0,611,Sameside Company
0,612,Starship Ent. + Yue Hua Ent.
0,613,goodtomeetyou
0,614,AWAKE
0,615,Beauty Korea
0,616,"325E&C"
0,617,Potluck
0,618,J-Star Entertainment
0,619,Starting House
0,620,SNIPERSOUND
0,621,Studio OPC
0,622,Bang Casting
0,623,FAB Entertainment
0,624,Jackpot Entertainment
0,625,WUZO Entertainment
0,626,The Eric Nam Company Inc
0,627,"367 Entertainment"
14,628,Studio J
0,629,KC
19,630,WAKEONE + Swing Ent.
19,631,BIScuit Entertainment
56,632,Seven Seasons
0,633,Retro Entertainment
0,634,Drug Record
0,635,SGM Records
0,636,D-Business Entertainment
0,637,Bros Media Entertainment
0,638,Xing Entertainment
0,639,Media Line Entertainment
0,640,Neworder Entertainment
14,641,SQU4D
0,642,CultureDepot
0,643,Wang Feifei Studio
0,644,Meng Jia Studio
0,645,QUAN Entertainment
0,646,Ulala Company
0,647,Vanillare
0,648,TnC Entertainment
0,649,Hanahreum Company
0,650,Goan Entertainment
0,651,GYM Entertainment
0,652,PCS Entertainment
654,653,Local High Records
0,654,JMG
0,655,J-Key Play
0,656,Big Daddy Music Ent
0,657,MAXINE
0,658,draw youth
0,659,Chorokbaem E&M
0,660,The Tilde Entertainment
0,661,Bridge Media Group
0,662,Studio JAMM
0,663,Electric Muse
0,664,Madewell Music
0,665,ECLIPSE EMPIRE
0,666,Halftime Records
0,667,TEAMPLAY MUSIC
0,668,LaybacknChill
0,669,Nostalgia Music
0,670,Sauce Cartel
0,671,Redstart ENM
0,672,Tri-us Entertainment
0,673,nO aUTHORITY
0,674,"325 E&C"
0,675,Limez Entertainment
0,676,Noga Entertainment
0,677,Jungoh Company
0,678,Cornerstone
0,679,Inplanet Music
0,680,Krazy Entertainment
0,681,Shine E&M
1,682,BM Entertainment
0,683,Wolfburn
0,684,EggPlant
0,685,E-Ho Entertainment
0,686,Next Entertainment World
0,687,Open World Entertainment
0,688,ADE Music
0,689,KDH Entertainment
0,690,Bon Entertainment
0,691,Toysound
0,692,Drama House People
0,693,S.How Entertainment
0,694,Enter One Music
0,695,"285"
0,696,Watch Out! Records
0,697,IONE Ent.
0,698,TN Nation Entertainment
0,699,Richworld Entertainment
0,700,January
0,701,Sound Republica
0,702,WD Entertainment
0,703,ravex
0,704,Trivus Entertainment
0,705,Winning Insight Media
0,706,Moss Music
0,707,GnG Production
0,708,Evergrow
0,709,Wannabe Entertainment
3,710,YG KPlus
0,711,"Vivo Wave Co., Ltd"
0,712,"2Y Entertainment"
0,713,Pandagram
0,714,Funny Collection Entertainment
0,715,US Entertainment
0,716,Victory Company
0,717,Jang Entertainment
0,718,DY Entertainment
0,719,White Moon Entertainment
719,720,Brotherhood Entertainment
0,721,J-Entercom
0,722,Show Globe Entertainment
0,723,Moai Entertainment
0,724,Baeksang Entertainment
0,725,BIXIZ XOUND
0,726,ARTS & ARTISTS
0,727,B/S Entertainment Korea
0,728,DI Music
3,729,HIGHGRND
0,730,IPQ Entertainment
0,731,irrlvnt music
0,732,Hike
0,733,Peak Entertainment
0,734,Yechan Media
0,735,SE Group Entertainment
0,736,Hallyangsa
0,737,Starkim Entertainment
0,738,Blue Star Entertainment
0,739,Nega Network
0,740,Professional Entertainment
0,741,SVent
0,742,BTC Entertainment
0,743,leek.mill
0,744,Sweet Sorrow Company
0,745,Bella Union
0,746,Poke Entertainment
0,747,DRDR AC
0,748,Wings Entertainment
0,749,Fainit Company
0,750,Banggongho ENT.
0,751,"UIU Co., Ltd"
0,752,Sun Entertainment Culture Limited.
0,753,Softventures Inc
0,754,KBS Media
0,755,Samsung Entertainment
0,756,EMI Records
0,757,Aftermoon Entertainment
0,758,MUSTM Entertainment
0,759,Doremi Media
0,760,DIH Group
0,761,Leaders Contents Company
0,762,ZradeMusic
0,763,JTBC Studio
0,764,ENPA Entertainment
0,765,Better Company + KNJ Music
0,766,In Time Entertainment
0,767,"The Fashion Co., Ltd"
0,768,Music Sound + Koen Stars
0,769,Take One Music
0,770,HLCOMPANY
0,771,New Type Ent.
0,772,GOST
0,773,VH Entertainment
0,774,Cowl Entertainment
0,775,Serenity Music
0,776,Star Bay Entertainment
0,777,Rover Entertainment
0,778,Jacyhan International
