"data","ranklist"
"2021-08-28","[[""40"",""BTS"",""Butter"",15,186],[""40"",""BTS"",""Permission To Dance"",16,185],[""40"",""BTS"",""Dynamite"",33,168],[165,""Red Velvet"",""Queendom"",96,105]]"
"2021-09-04","[[""40"",""BTS"",""Butter"",14,187],[""40"",""BTS"",""Permission To Dance"",16,185],[""40"",""BTS"",""Dynamite"",34,167],[288,""Stray Kids"",""Thunderous"",80,121],[165,""Red Velvet"",""Queendom"",132,69],[""465"",""TXT"",""Lo$er=Lo&lt;3er"",184,17]]"
"2021-09-11","[[""40"",""BTS"",""Butter"",3,198],[""40"",""BTS"",""Permission To Dance"",27,174],[""40"",""BTS"",""Dynamite"",47,154],[288,""Stray Kids"",""Thunderous"",105,96]]"
"2021-09-18","[[""40"",""BTS"",""Butter"",21,180],[""40"",""BTS"",""Permission To Dance"",46,155],[""40"",""BTS"",""Dynamite"",55,146]]"
"2021-09-25","[[1317,""Lisa"",""Lalisa"",2,300],[""40"",""BTS"",""Butter"",12,189],[""40"",""BTS"",""Permission To Dance"",38,163],[1317,""Lisa"",""Money"",44,155],[""40"",""BTS"",""Dynamite"",46,155],[""31"",""Blackpink"",""How You Like That"",177,24]]"
"2021-10-02","[[""40"",""BTS"",""Butter"",19,182],[1317,""Lisa"",""Lalisa"",22,177],[""40"",""BTS"",""Permission To Dance"",34,167],[""40"",""BTS"",""Dynamite"",42,159],[148,""NCT 127"",""Sticker"",101,100],[1317,""Lisa"",""Money"",160,39]]"
"2021-10-09","[[""7618"",""Coldplay + BTS"",""My Universe"",1,400],[""40"",""BTS"",""Butter"",14,187],[1317,""Lisa"",""Money"",25,174],[1317,""Lisa"",""Lalisa"",26,173],[""40"",""BTS"",""Permission To Dance"",28,173],[""40"",""BTS"",""Dynamite"",40,161],[460,""ITZY"",""Loco"",44,157]]"
"2021-10-16","[[""7618"",""Coldplay + BTS"",""My Universe"",5,196],[""208"",""Twice"",""The Feels"",12,189],[1317,""Lisa"",""Money"",19,180],[""40"",""BTS"",""Butter"",21,180],[1317,""Lisa"",""Lalisa"",31,168],[""40"",""BTS"",""Permission To Dance"",33,168],[""40"",""BTS"",""Dynamite"",40,161],[460,""ITZY"",""Loco"",69,132],[""707"",""Aespa"",""Savage"",77,124]]"
"2021-10-23","[[""7618"",""Coldplay + BTS"",""My Universe"",9,192],[1317,""Lisa"",""Money"",10,189],[""40"",""BTS"",""Butter"",21,180],[""208"",""Twice"",""The Feels"",27,174],[""707"",""Aespa"",""Savage"",39,162],[""40"",""BTS"",""Permission To Dance"",41,160],[""40"",""BTS"",""Dynamite"",42,159],[1317,""Lisa"",""Lalisa"",45,154],[460,""ITZY"",""Loco"",97,104]]"
"2021-10-30","[[""7618"",""Coldplay + BTS"",""My Universe"",7,194],[1317,""Lisa"",""Money"",11,188],[""40"",""BTS"",""Butter"",23,178],[""208"",""Twice"",""The Feels"",34,167],[""40"",""BTS"",""Dynamite"",46,155],[""40"",""BTS"",""Permission To Dance"",50,151],[1317,""Lisa"",""Lalisa"",53,146],[""707"",""Aespa"",""Savage"",77,124],[460,""ITZY"",""Loco"",134,67]]"
"2021-11-06","[[""7618"",""Coldplay + BTS"",""My Universe"",9,192],[1317,""Lisa"",""Money"",12,187],[""40"",""BTS"",""Butter"",25,176],[""208"",""Twice"",""The Feels"",39,162],[""40"",""BTS"",""Dynamite"",41,160],[""40"",""BTS"",""Permission To Dance"",47,154],[1317,""Lisa"",""Lalisa"",60,139],[171,""Seventeen"",""Rock With You"",68,133],[""707"",""Aespa"",""Savage"",97,104],[460,""ITZY"",""Loco"",172,29],[148,""NCT 127"",""Favorite"",186,15]]"
"2021-11-13","[[""7618"",""Coldplay + BTS"",""My Universe"",10,191],[1317,""Lisa"",""Money"",12,187],[""40"",""BTS"",""Butter"",25,176],[""208"",""Twice"",""The Feels"",41,160],[""40"",""BTS"",""Dynamite"",43,158],[""40"",""BTS"",""Permission To Dance"",49,152],[1317,""Lisa"",""Lalisa"",89,110],[""707"",""Aespa"",""Savage"",109,92],[""492"",""Somi"",""XOXO"",185,16],[148,""NCT 127"",""Favorite"",198,3]]"
"2021-11-20","[[""7618"",""Coldplay + BTS"",""My Universe"",13,188],[1317,""Lisa"",""Money"",15,184],[""40"",""BTS"",""Butter"",27,174],[""40"",""BTS"",""Dynamite"",45,156],[""208"",""Twice"",""The Feels"",50,151],[""40"",""BTS"",""Permission To Dance"",61,140],[1421,""Jin"",""Yours"",90,109],[1317,""Lisa"",""Lalisa"",113,86],[""707"",""Aespa"",""Savage"",142,59]]"
"2021-11-27","[[""7618"",""Coldplay + BTS"",""My Universe"",14,187],[1317,""Lisa"",""Money"",19,180],[""40"",""BTS"",""Butter"",38,163],[""208"",""Twice"",""The Feels"",45,156],[""208"",""Twice"",""Scientist"",52,149],[""40"",""BTS"",""Dynamite"",62,139],[""40"",""BTS"",""Permission To Dance"",100,101],[1317,""Lisa"",""Lalisa"",183,16]]"
"2021-12-04","[[""7618"",""Coldplay + BTS"",""My Universe"",20,181],[1317,""Lisa"",""Money"",30,169],[""40"",""BTS"",""Butter"",34,167],[""40"",""BTS"",""Dynamite"",55,146],[""208"",""Twice"",""The Feels"",61,140],[""40"",""BTS"",""Permission To Dance"",86,115],[""208"",""Twice"",""Scientist"",106,95]]"
"2021-12-11","[[""7618"",""Coldplay + BTS"",""My Universe"",20,181],[""40"",""BTS"",""Butter"",31,170],[1317,""Lisa"",""Money"",38,161],[""40"",""BTS"",""Dynamite"",53,148],[""208"",""Twice"",""The Feels"",69,132],[""40"",""BTS"",""Permission To Dance"",81,120],[""208"",""Twice"",""Scientist"",136,65]]"
"2021-12-18","[[""40"",""BTS"",""Butter"",25,176],[""7618"",""Coldplay + BTS"",""My Universe"",29,172],[1317,""Lisa"",""Money"",53,146],[""40"",""BTS"",""Dynamite"",56,145],[1408,""IVE"",""Eleven"",68,133],[""208"",""Twice"",""The Feels"",92,109],[""40"",""BTS"",""Permission To Dance"",95,106]]"
"2021-12-25","[[""7618"",""Coldplay + BTS"",""My Universe"",32,169],[""40"",""BTS"",""Butter"",34,167],[1317,""Lisa"",""Money"",67,132],[""40"",""BTS"",""Dynamite"",71,130],[1408,""IVE"",""Eleven"",74,127],[""208"",""Twice"",""The Feels"",105,96],[""40"",""BTS"",""Permission To Dance"",108,93]]"
"2022-01-01","[[""40"",""BTS"",""Butter"",41,160],[""7618"",""Coldplay + BTS"",""My Universe"",45,156],[""40"",""BTS"",""Dynamite"",80,121],[1317,""Lisa"",""Money"",82,117],[1408,""IVE"",""Eleven"",99,102],[""208"",""Twice"",""The Feels"",128,73],[""40"",""BTS"",""Permission To Dance"",136,65]]"
"2022-01-08","[[""40"",""BTS"",""Butter"",41,160],[""7618"",""Coldplay + BTS"",""My Universe"",43,158],[""607"",""V"",""Christmas Tree"",51,150],[""40"",""BTS"",""Dynamite"",70,131],[1317,""Lisa"",""Money"",87,112],[1408,""IVE"",""Eleven"",109,92],[""40"",""BTS"",""Permission To Dance"",136,65],[""208"",""Twice"",""The Feels"",138,63]]"
"2022-01-15","[[""7618"",""Coldplay + BTS"",""My Universe"",17,184],[""40"",""BTS"",""Butter"",24,177],[""40"",""BTS"",""Dynamite"",36,165],[1317,""Lisa"",""Money"",48,151],[1408,""IVE"",""Eleven"",72,129],[""40"",""BTS"",""Permission To Dance"",87,114],[""208"",""Twice"",""The Feels"",94,107],[1451,""GOT the beat"",""Step Back"",126,75],[""707"",""Aespa"",""Dreams Come True"",197,4]]"
"2022-01-22","[[""7618"",""Coldplay + BTS"",""My Universe"",30,171],[""40"",""BTS"",""Butter"",45,156],[""40"",""BTS"",""Dynamite"",68,133],[1317,""Lisa"",""Money"",75,124],[1408,""IVE"",""Eleven"",101,100],[1434,""Kep1er"",""Wa Da Da"",117,84],[1451,""GOT the beat"",""Step Back"",122,79],[""40"",""BTS"",""Permission To Dance"",128,73],[""208"",""Twice"",""The Feels"",133,68],[""607"",""V"",""Christmas Tree"",174,27]]"
"2022-01-29","[[""7618"",""Coldplay + BTS"",""My Universe"",23,178],[""40"",""BTS"",""Butter"",36,165],[""40"",""BTS"",""Dynamite"",47,154],[1317,""Lisa"",""Money"",71,128],[1434,""Kep1er"",""Wa Da Da"",77,124],[1408,""IVE"",""Eleven"",93,108],[""40"",""BTS"",""Permission To Dance"",115,86],[""208"",""Twice"",""The Feels"",122,79],[1451,""GOT the beat"",""Step Back"",136,65]]"
"2022-02-05","[[""7618"",""Coldplay + BTS"",""My Universe"",23,178],[""40"",""BTS"",""Butter"",38,163],[""40"",""BTS"",""Dynamite"",48,153],[1317,""Lisa"",""Money"",81,118],[1434,""Kep1er"",""Wa Da Da"",82,119],[1408,""IVE"",""Eleven"",97,104],[""40"",""BTS"",""Permission To Dance"",113,88],[""208"",""Twice"",""The Feels"",127,74],[1451,""GOT the beat"",""Step Back"",165,36]]"
"2022-02-12","[[""7618"",""Coldplay + BTS"",""My Universe"",26,175],[""40"",""BTS"",""Butter"",42,159],[""40"",""BTS"",""Dynamite"",50,151],[1434,""Kep1er"",""Wa Da Da"",89,112],[1317,""Lisa"",""Money"",91,108],[1408,""IVE"",""Eleven"",101,100],[""40"",""BTS"",""Permission To Dance"",118,83],[""208"",""Twice"",""The Feels"",138,63],[1451,""GOT the beat"",""Step Back"",144,57]]"
