"id","is_collab","name","kname","previous_name","previous_kname","fname","alias","id_company","members","issolo","id_parentgroup","formation","disband","fanclub","id_debut","debut_date","date_birth","is_deceased","id_country","sales","awards","views","pak_total","gaondigital_times","gaondigital_firsts","yawards_total","social","mslevel"
4497,n,Queenz Eye,퀸즈아이,"","","","",490,female,n,0,2022,"","",31482,"2022-10-24",,n,114,0,0,10552895,0,0,0,0,"{""T"":""queenz_eye"",""I"":""queenzeye_official"",""Y"":""UClRsVhaSnw5xTf43cC82UUQ"",""W"":""queenzeye.com"",""M"":""3136797"",""N"":""Queenz%20Eye""}",0
4498,n,Wonchae,원채,"","",Hwang Chaewon,황채원,490,female,y,4497,2022,"","",0,,"2002-12-22",n,114,0,0,0,0,0,0,0,[],0
4499,n,Hannah,해나,"","",Bae Hyunyoung,배현영,490,female,y,4497,2022,"","",0,,"1999-10-23",n,114,0,0,0,0,0,0,0,"",0
4500,n,Narin,나린,"","",Lee Eunseo,이은서,490,female,y,4497,2022,"","",0,,"2000-06-06",n,114,0,0,0,0,0,0,0,"",0
4501,n,Ahyoon,아윤,"","",Shin Jiwon,신지원;Shin Ahyoon;신아윤,490,female,y,4497,2022,"","",0,,"2003-09-24",n,114,0,0,0,0,0,0,0,"",0
4502,n,Damin,다민,"","",Kang Damin,강다민,490,female,y,4497,2022,"","",0,,"2004-03-24",n,114,0,0,0,0,0,0,0,"",0
4503,n,Jenna,제나,"","",Kim Minji,김민지,490,female,y,4497,2022,"","",0,,"2006-10-06",n,114,0,0,0,0,0,0,0,"",0
4504,n,izi,이지,"","","","",0,male,n,0,2003,"","",0,"2005-04-19",,n,114,0,0,12640,0,4,0,0,"{""M"":""164914"",""N"":""izi""}",0
4505,n,Oh Jinseong,오진성,"","",Oh Jinseong,"",0,male,y,4504,2005,"","",0,,"1984-01-04",n,114,0,0,5234,0,0,0,0,"",0
4506,n,Kim Jun Han,김준한,"","",Kim Jun Han,"",0,male,y,4504,2005,"","",0,,"1983-03-29",n,114,0,0,0,0,0,0,0,"",0
4507,n,Shin Seung Ik,신승익,"","",Shin Seung Ik,"",0,male,y,4504,2005,"","",0,,,n,114,0,0,0,0,0,0,0,"{""M"":""602117""}",0
4508,n,Lee Dong Won,이동원,"","",Lee Dong Won,"",0,male,y,4504,2005,"","",0,,,n,114,0,0,0,0,0,0,0,"",0
4509,n,DIGNITY,디그니티,"","","","",652,male,n,0,2022,"","",0,,,n,114,0,0,305724,0,0,0,0,"{""T"":""DGNT_Official"",""M"":""3130162"",""N"":""ub514uadf8ub2c8ud2f0""}",0
4510,n,Luo,루오,"","",Song Lu-o,송루오,652,male,y,4509,2022,"","",0,,"1998-07-08",n,114,0,0,0,0,0,0,0,"",0
4511,n,Luke,루크,"","",Seo Jinuk,서진욱,652,male,y,4509,2022,"","",0,,"1998-11-14",n,114,0,0,0,0,0,0,0,"{""M"":""3130168""}",0
4512,n,Minseok,민석,"","",Jang Min-seok,장민석,652,male,y,4509,2022,"","",0,,"1998-05-31",n,114,0,0,0,0,0,0,0,"{""M"":""3130167""}",0
4513,n,On,온,"","",Park Hyeongjin,박형진,652,male,y,4509,2022,"","",0,,"1998-11-14",n,114,0,0,0,0,0,0,0,"{""M"":""3130169""}",0
4514,n,Hyeongjin,형진,"","",Lee Hyeongjin,이형진,652,male,y,4509,2022,"","",0,"2022-09-23","1999-04-03",n,114,0,0,0,0,0,0,0,"{""M"":""3130170""}",0
4515,n,DanJerous,땡절스,"","","","",746,coed,n,0,2022,"",Thankyou,31499,"2022-10-18",,n,114,0,0,862962,0,0,0,0,"{""Y"":""UCIFi7OKLR8fNIhxehFb9tgg"",""M"":""3135738"",""N"":""ub561uc808uc2a4""}",0
4516,n,DanceKang,땡깡,"","",Lee Kangbin,이강빈,746,male,y,4515,2022,"","",0,,"1999-10-08",n,114,0,0,0,0,0,0,0,[],0
